Category,Subsystem,Part Name,Description,Link,Qty,Cost (USD)
CONVEYOR,Sensor,IR Break Beam Sensor,Detects present position,https://www.adafruit.com/product/2167,2,6
SORTING,Servo,MG90S Metal Gear Servo,Sorting gate actuator,https://www.makerfocus.com/products/mg90s-metal-geared-micro-servo-motor,2,18
SORTING,Gate,3D Printed Sorting Gate,Routes presents,N/A (3D printed),1,0
SORTING,Switch,Limit Switch,Detects gate position,https://www.adafruit.com/product/819,2,4
ROBOT,Controller,ESP32 Dev Board,Elf robot controller,https://www.adafruit.com/product/3405,1,20
ROBOT,Motor,DC Gear Motors (Robot),Robot drive motors,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/114090050/10385087?gclsrc=aw.ds&gad_source=1&gad_campaignid=20243136172&gbraid=0AAAAADrbLlgKWIkVl1EVOntb4rs-iLx4E&gclid=CjwKCAiAmePKBhAfEiwAU3Ko3AtNr2IWBjv446QK9v_kExHFuEjFVckdi-D8ZKxldhgBCXpLAOl9HhoCVZIQAvD_BwE,2,2.4
ROBOT,Sensors,IR Line Sensor Array,Line following,https://www.dfrobot.com/product-135.html,1,12
ROBOT,Sensors,Ultrasonic Sensor HC-SR04,Obstacle detection,https://www.adafruit.com/product/3942,1,3.95
ROBOT,Chassis,3D Printed Robot Chassis,Elf robot frame,N/A (3D printed),1,0
UI,Display,0.96in OLED SSD1306,Status display,https://www.adafruit.com/product/326,1,17.5
UI,LEDs,WS2812 RGB LED Strip,Visual feedback,https://www.aliexpress.us/item/3256806929007892.html?src=google&pdp_npi=4%40dis%21USD%215.20%212.50%21%21%21%21%21%40%2112000039451063680%21ppc%21%21%21&snps=y&snpsid=1&src=google&albch=shopping&acnt=752-015-9270&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oDeeeiG&gclsrc=aw.ds&albagn=888888&ds_e_adid=775468814864&ds_e_matchtype=search&ds_e_device=c&ds_e_network=g&ds_e_product_group_id=2451479151830&ds_e_product_id=en3256806929007892&ds_e_product_merchant_id=5551326180&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=23047568129&albag=186028244379&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=23047568129&gbraid=0AAAAA_eFwRAzeRh5WprlB4MEc0NNcCN67&gclid=CjwKCAiAmePKBhAfEiwAU3Ko3DeM2WRlyGm8k0iTu8gxDFKXeFzAhXjGSERAiJ3DiM0D1gEvhxBQkBoCRLAQAvD_BwE&gatewayAdapt=glo2usa,1,5.2
UI,Buttons,Panel Mount Push Buttons,Start / reset,https://www.adafruit.com/product/1443,2,3
POWER,Battery,18650 Li-ion Battery,Main power source,https://www.adafruit.com/product/1781,4,24
POWER,Holder,18650 Battery Holder,Battery mounting,https://www.aliexpress.us/item/3256810329090041.html?src=google&pdp_npi=4%40dis%21USD%2114.62%214.82%21%21%21%21%21%40%2112000052666454535%21ppc%21%21%21&snps=y&retailTag=OverseasHosting&traffic_server_nav=true&src=google&albch=shopping&acnt=752-015-9270&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oDc8nzq&gclsrc=aw.ds&albagn=888888&ds_e_adid=766084151206&ds_e_matchtype=search&ds_e_device=c&ds_e_network=g&ds_e_product_group_id=2434491967166&ds_e_product_id=en3256810329090041&ds_e_product_merchant_id=5551326180&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22836103672&albag=186077925114&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=22836103672&gbraid=0AAAAA_eFwRASMUHP_hcvgAEgkGR3hRssV&gclid=CjwKCAiAmePKBhAfEiwAU3Ko3KLUCdyYemAorF2OB14TAKYDRjl7BPlfrph5t0-SHpvc1u3HG3ow1xoC28wQAvD_BwE&gatewayAdapt=glo2usa,2,10
POWER,Regulator,DC-DC Buck Converter,Voltage regulation,https://www.amazon.com/dp/B01MQGMOKI,2,12.25
POWER,Switch,Power Switch,Main system power,https://www.adafruit.com/product/805,1,1
MECHANICAL,Hardware,Screws/Nuts/Standoffs,Assembly hardware,N/A,1,15
MECHANICAL,Material,PLA Filament (2kg),3D printing material,https://www.amazon.com/dp/B07PGY2JP1,Self Supplied,0
TOTAL (without shipping + taxes) ,,,,$287.22,,
,,,,,,
,,,,,,
Shipping + Taxes,,,,$68.31,,
TOTAL COST (includes all additional costs): ,,,,$355.53,,
